arquivo,linhas_antes,cnpj_invalidos_antes,corrigidos_com_zero_esquerda,linhas_removidas_sem_cnpj_valido,duplicatas_removidas_pos_limpeza,linhas_depois
AC_RIO_BRANCO.parquet,5397,0,0,0,0,5397
AL_MACEIO.parquet,11236,0,0,0,0,11236
AM_MANAUS.parquet,227976,17,0,17,0,227959
AP_MACAPA.parquet,35757,0,0,0,0,35757
BA_SALVADOR.parquet,900667,0,0,0,0,900667
CE_FORTALEZA.parquet,31984,0,0,0,0,31984
DF_BRASILIA.parquet,1004,0,0,0,0,1004
ES_VITORIA.parquet,1475,0,0,0,0,1475
GO_GOIANIA.parquet,523,0,0,0,0,523
MA_SAO_LUIS.parquet,872,0,0,0,0,872
MG_BELO_HORIZONTE.parquet,875329,127340,0,127340,0,747989
MS_CAMPO_GRANDE.parquet,74771,9306,0,9306,0,65465
MT_CUIABA.parquet,118,118,0,118,0,0
PA_BELEM.parquet,246715,246715,0,246715,0,0
PB_JOAO_PESSOA.parquet,391,5,0,5,0,386
PE_RECIFE.parquet,393826,4,0,4,0,393822
PI_TERESINA.parquet,431881,52063,0,52063,0,379818
PR_CURITIBA.parquet,345,345,0,345,0,0
RJ_RIO_DE_JANEIRO.parquet,6846,0,0,0,0,6846
RN_NATAL.parquet,414,0,0,0,0,414
RO_PORTO_VELHO.parquet,662,62,0,62,0,600
RR_BOA_VISTA.parquet,32159,0,0,0,0,32159
RS_PORTO_ALEGRE.parquet,365,365,0,365,0,0
SC_FLORIANOPOLIS.parquet,542147,0,0,0,0,542147
SE_ARACAJU.parquet,626,626,0,626,0,0
SP_SAO_PAULO.parquet,5700,0,0,0,0,5700
TO_PALMAS.parquet,125905,0,0,0,0,125905
