arquivo,linhas_antes,cnpj_invalidos_antes,corrigidos_com_zero_esquerda,linhas_removidas_sem_cnpj_valido,duplicatas_removidas_pos_limpeza,linhas_depois
AC.parquet,7224,0,0,0,0,7224
AL.parquet,10370,0,0,0,0,10370
AM.parquet,8009,0,0,0,0,8009
AP.parquet,4396,0,0,0,0,4396
BA.parquet,32286,0,0,0,0,32286
CE.parquet,25564,0,0,0,0,25564
DF.parquet,8786,0,0,0,0,8786
ES.parquet,12172,0,0,0,0,12172
GO.parquet,20720,0,0,0,0,20720
MA.parquet,17467,0,0,0,0,17467
MG.parquet,62099,0,0,0,0,62099
MS.parquet,12376,0,0,0,0,12376
MT.parquet,13617,0,0,0,0,13617
PA.parquet,14566,0,0,0,0,14566
PB.parquet,19010,0,0,0,0,19010
PE.parquet,22348,0,0,0,0,22348
PI.parquet,17028,256,0,256,0,16772
PR.parquet,45642,0,0,0,0,45642
RJ.parquet,24732,0,0,0,0,24732
RN.parquet,16657,0,0,0,0,16657
RO.parquet,10422,123,0,123,0,10299
RR.parquet,4530,133,0,133,0,4397
RS.parquet,56134,0,0,0,0,56134
SC.parquet,28668,0,0,0,0,28668
SE.parquet,8796,0,0,0,0,8796
SP.parquet,66479,0,0,0,0,66479
TO.parquet,11253,0,0,0,0,11253
